Section,d (in.),bf (in.),tf (in.),tw (in.),k (in.),Area (in.^2),Ix (in.^4),Iy (in.^4),Sx (in.^3),Sy (in.^3),Zx (in.^3),Zy (in.^3),Rx (in.),Ry (in.),J (in.^4)
W10X100,11.1,10.3,1.12,0.68,1.62,29.3,623,207,112,40,130,61,4.6,2.65,10.9
W10X88,10.8,10.3,0.99,0.605,1.49,26,534,179,98.5,34.8,113,53.1,4.54,2.63,7.53
W10X77,10.6,10.2,0.87,0.53,1.37,22.7,455,154,85.9,30.1,97.6,45.9,4.49,2.6,5.11
W10X68,10.4,10.1,0.77,0.47,1.27,19.9,394,134,75.7,26.4,85.3,40.1,4.44,2.59,3.56
W10X60,10.2,10.1,0.68,0.42,1.18,17.7,341,116,66.7,23,74.6,35,4.39,2.57,2.48
W10X54,10.1,10,0.615,0.37,1.12,15.8,303,103,60,20.6,66.6,31.3,4.37,2.56,1.82
W10X49,10,10,0.56,0.34,1.06,14.4,272,93.4,54.6,18.7,60.4,28.3,4.35,2.54,1.39
W10X45,10.1,8.02,0.62,0.35,1.12,13.3,248,53.4,49.1,13.3,54.9,20.3,4.32,2.01,1.51
W10X39,9.92,7.99,0.53,0.315,1.03,11.5,209,45,42.1,11.3,46.8,17.2,4.27,1.98,0.976
W10X33,9.73,7.96,0.435,0.29,0.935,9.71,171,36.6,35,9.2,38.8,14,4.19,1.94,0.583
W10X30,10.5,5.81,0.51,0.3,0.81,8.84,170,16.7,32.4,5.75,36.6,8.84,4.38,1.37,0.622
W10X26,10.3,5.77,0.44,0.26,0.74,7.61,144,14.1,27.9,4.89,31.3,7.5,4.35,1.36,0.402
W10X22,10.2,5.75,0.36,0.24,0.66,6.49,118,11.4,23.2,3.97,26,6.1,4.27,1.33,0.239
W10X19,10.2,4.02,0.395,0.25,0.695,5.62,96.3,4.29,18.8,2.14,21.6,3.35,4.14,0.874,0.233
W10X17,10.1,4.01,0.33,0.24,0.63,4.99,81.9,3.56,16.2,1.78,18.7,2.8,4.05,0.845,0.156
W10X15,9.99,4,0.27,0.23,0.57,4.41,68.9,2.89,13.8,1.45,16,2.3,3.95,0.81,0.104
W10X12,9.87,3.96,0.21,0.19,0.51,3.54,53.8,2.18,10.9,1.1,12.6,1.74,3.9,0.785,0.0547
W8X67,9,8.28,0.935,0.57,1.33,19.7,272,88.6,60.4,21.4,70.1,32.7,3.72,2.12,5.05
W8X58,8.75,8.22,0.81,0.51,1.2,17.1,228,75.1,52,18.3,59.8,27.9,3.65,2.1,3.33
W8X48,8.5,8.11,0.685,0.4,1.08,14.1,184,60.9,43.2,15,49,22.9,3.61,2.08,1.96
